Date,Plant_ID,Plant_Location,Machine_ID,Machine_Type,Shift,Operator_ID,Downtime_Minutes,Failure_Type,Maintenance_Cost,Production_Loss_Units,Production_Loss_Value,Repair_Time_Minutes,Technician_ID,Status,Root_Cause
01/01/2022,PLT-002,Mumbai,MCH-002-007,CNC Machine,Morning,OPR-1077,71,Electrical Failure,6248.14,296,130809.29,63,TECH-240,Resolved,Motor burnout
01/01/2022,PLT-001,Pune,MCH-001-006,Welding Robot,Night,OPR-1080,68,Overheating,7451.88,166,78068.33,64,TECH-255,Resolved,Lubricant depletion
01/01/2022,PLT-002,Mumbai,MCH-002-011,Injection Moulding,Night,OPR-1078,34,Electrical Failure,5894.44,97,71307.80,25,TECH-259,Resolved,Wiring fault
01/01/2022,PLT-001,Pune,MCH-001-015,Robotic Arm,Night,OPR-1045,12,Human Error,1689.67,99,66704.75,10,TECH-234,Resolved,Missed maintenance check
01/01/2022,PLT-002,Mumbai,MCH-002-018,Injection Moulding,Morning,OPR-1128,67,Electrical Failure,13576.41,558,208019.75,46,TECH-256,Resolved,Short circuit
01/01/2022,PLT-003,Bangalore,MCH-003-001,Conveyor Belt,Night,OPR-1026,54,Electrical Failure,7306.60,437,149028.18,49,TECH-255,Resolved,Blown fuse
01/01/2022,PLT-001,Pune,MCH-001-005,Robotic Arm,Afternoon,OPR-1086,121,Mechanical Failure,16302.96,950,620564.06,94,TECH-247,Pending,Component fatigue
01/01/2022,PLT-002,Mumbai,MCH-002-016,Lathe Machine,Afternoon,OPR-1155,38,Overheating,8720.88,329,180813.71,22,TECH-258,Resolved,Ambient temperature
01/01/2022,PLT-003,Bangalore,MCH-003-013,Hydraulic Press,Night,OPR-1020,44,Electrical Failure,8244.44,107,22250.10,40,TECH-258,Resolved,Short circuit
01/01/2022,PLT-003,Bangalore,MCH-003-013,Conveyor Belt,Morning,OPR-1018,215,Mechanical Failure,27720.99,583,419146.61,198,TECH-223,Resolved,Worn bearings
01/01/2022,PLT-002,Mumbai,MCH-002-007,Packaging Unit,Night,OPR-1094,80,Electrical Failure,13572.19,562,128416.17,70,TECH-202,Resolved,Short circuit
01/01/2022,PLT-001,Pune,MCH-001-001,Injection Moulding,Afternoon,OPR-1057,107,Mechanical Failure,15058.10,732,269620.32,85,TECH-201,Resolved,Component fatigue
01/01/2022,PLT-003,Bangalore,MCH-003-007,CNC Machine,Night,OPR-1135,44,Electrical Failure,4328.69,188,118211.15,37,TECH-212,Resolved,Wiring fault
01/01/2022,PLT-001,Pune,MCH-001-003,CNC Machine,Afternoon,OPR-1087,22,Human Error,4155.44,180,59329.58,15,TECH-215,Pending,Improper operation
01/01/2022,PLT-002,Mumbai,MCH-002-010,Conveyor Belt,Night,OPR-1057,133,Hydraulic Leak,28898.26,947,315196.60,89,TECH-202,Resolved,Seal degradation
01/01/2022,PLT-002,Mumbai,MCH-002-016,Injection Moulding,Night,OPR-1186,34,Overheating,7839.53,281,107130.30,23,TECH-209,Resolved,Blocked ventilation
01/01/2022,PLT-003,Bangalore,MCH-003-019,Injection Moulding,Afternoon,OPR-1087,152,Hydraulic Leak,36442.99,1103,404717.69,123,TECH-209,Pending,Pipe crack
01/01/2022,PLT-001,Pune,MCH-001-010,Lathe Machine,Afternoon,OPR-1178,76,Mechanical Failure,13215.90,177,61088.78,61,TECH-219,Resolved,Worn bearings
01/01/2022,PLT-002,Mumbai,MCH-002-015,Lathe Machine,Afternoon,OPR-1096,35,Sensor Failure,6317.89,151,76278.47,25,TECH-214,Resolved,Firmware error
01/01/2022,PLT-003,Bangalore,MCH-003-006,Robotic Arm,Morning,OPR-1146,93,Hydraulic Leak,24126.81,204,113983.55,59,TECH-222,Resolved,Valve failure
01/01/2022,PLT-001,Pune,MCH-001-020,Lathe Machine,Night,OPR-1047,153,Overheating,19989.53,1075,682758.17,97,TECH-256,Resolved,Blocked ventilation
01/01/2022,PLT-002,Mumbai,MCH-002-012,Packaging Unit,Morning,OPR-1032,223,Power Failure,38800.70,923,281007.72,149,TECH-215,Resolved,Tripped breaker
01/01/2022,PLT-001,Pune,MCH-001-010,Conveyor Belt,Morning,OPR-1087,53,Electrical Failure,8744.81,314,144169.35,40,TECH-206,Resolved,Wiring fault
01/01/2022,PLT-003,Bangalore,MCH-003-020,Robotic Arm,Afternoon,OPR-1179,61,Sensor Failure,12748.46,495,163891.32,55,TECH-243,Resolved,Dirty sensor
01/01/2022,PLT-002,Mumbai,MCH-002-014,Conveyor Belt,Night,OPR-1124,32,Overheating,6013.34,236,101432.73,27,TECH-214,Resolved,Blocked ventilation
01/01/2022,PLT-003,Bangalore,MCH-003-014,Packaging Unit,Night,OPR-1076,67,Overheating,10009.47,252,109829.25,43,TECH-210,Resolved,Ambient temperature
01/01/2022,PLT-003,Bangalore,MCH-003-012,CNC Machine,Afternoon,OPR-1097,15,Sensor Failure,3111.20,121,94110.84,12,TECH-240,Resolved,Sensor disconnected
01/01/2022,PLT-002,Mumbai,MCH-002-003,Welding Robot,Afternoon,OPR-1147,53,Mechanical Failure,9285.69,223,136003.87,37,TECH-216,Pending,Belt snapped
01/01/2022,PLT-002,Mumbai,MCH-002-005,Hydraulic Press,Night,OPR-1011,67,Overheating,10318.68,265,82782.02,45,TECH-226,Resolved,Cooling fan failure
01/01/2022,PLT-003,Bangalore,MCH-003-011,Conveyor Belt,Morning,OPR-1153,149,Mechanical Failure,31348.99,532,369068.50,127,TECH-243,Resolved,Component fatigue
01/01/2022,PLT-001,Pune,MCH-001-010,Injection Moulding,Night,OPR-1083,98,Electrical Failure,18128.95,439,161991.68,81,TECH-218,Pending,Motor burnout
01/01/2022,PLT-003,Bangalore,MCH-003-016,Packaging Unit,Afternoon,OPR-1032,27,Human Error,7094.11,190,135675.37,20,TECH-242,Resolved,Improper operation
01/01/2022,PLT-001,Pune,MCH-001-006,Lathe Machine,Morning,OPR-1063,77,Electrical Failure,6564.88,335,227418.37,57,TECH-246,Resolved,Short circuit
01/02/2022,PLT-001,Pune,MCH-001-011,CNC Machine,Afternoon,OPR-1185,42,Electrical Failure,3511.60,234,113523.68,30,TECH-225,Resolved,Short circuit
01/02/2022,PLT-001,Pune,MCH-001-014,Welding Robot,Afternoon,OPR-1089,87,Hydraulic Leak,9593.34,683,486753.82,71,TECH-256,Resolved,Pipe crack
01/02/2022,PLT-003,Bangalore,MCH-003-009,CNC Machine,Night,OPR-1193,71,Electrical Failure,12647.77,329,174038.99,61,TECH-254,Resolved,Short circuit
01/02/2022,PLT-001,Pune,MCH-001-018,Conveyor Belt,Morning,OPR-1132,175,Mechanical Failure,33216.28,954,583944.22,140,TECH-232,Resolved,Component fatigue
01/02/2022,PLT-001,Pune,MCH-001-019,Hydraulic Press,Night,OPR-1152,149,Hydraulic Leak,29794.12,1162,835375.26,96,TECH-237,Resolved,Seal degradation
01/02/2022,PLT-001,Pune,MCH-001-017,Hydraulic Press,Afternoon,OPR-1189,16,Sensor Failure,2779.53,35,21466.06,13,TECH-224,Resolved,Dirty sensor
01/02/2022,PLT-001,Pune,MCH-001-014,Conveyor Belt,Afternoon,OPR-1153,121,Mechanical Failure,12417.67,406,300251.74,114,TECH-251,Resolved,Component fatigue
01/02/2022,PLT-002,Mumbai,MCH-002-003,Packaging Unit,Afternoon,OPR-1052,85,Mechanical Failure,21058.27,379,117446.46,58,TECH-205,Resolved,Component fatigue
01/02/2022,PLT-003,Bangalore,MCH-003-014,Conveyor Belt,Afternoon,OPR-1088,73,Mechanical Failure,12704.68,192,138392.74,51,TECH-240,Resolved,Component fatigue
01/02/2022,PLT-003,Bangalore,MCH-003-011,Hydraulic Press,Afternoon,OPR-1055,140,Mechanical Failure,12770.21,562,155275.13,92,TECH-239,Resolved,Belt snapped
01/02/2022,PLT-002,Mumbai,MCH-002-004,Robotic Arm,Afternoon,OPR-1007,173,Mechanical Failure,27863.56,687,480633.13,162,TECH-213,Resolved,Component fatigue
01/02/2022,PLT-002,Mumbai,MCH-002-010,Welding Robot,Night,OPR-1081,96,Overheating,13936.32,752,351543.13,78,TECH-220,Resolved,Blocked ventilation
01/02/2022,PLT-001,Pune,MCH-001-005,Lathe Machine,Afternoon,OPR-1131,19,Human Error,4208.54,46,8636.71,16,TECH-235,Resolved,Improper operation
01/02/2022,PLT-002,Mumbai,MCH-002-013,Lathe Machine,Morning,OPR-1140,52,Overheating,6787.41,273,173165.99,41,TECH-246,Resolved,Lubricant depletion
01/02/2022,PLT-002,Mumbai,MCH-002-016,Hydraulic Press,Morning,OPR-1079,122,Mechanical Failure,26619.23,660,485782.45,100,TECH-206,Resolved,Worn bearings
01/02/2022,PLT-001,Pune,MCH-001-014,Lathe Machine,Afternoon,OPR-1035,98,Overheating,25290.10,504,195725.82,85,TECH-240,Pending,Cooling fan failure
01/02/2022,PLT-002,Mumbai,MCH-002-016,CNC Machine,Morning,OPR-1156,81,Mechanical Failure,13310.44,369,258477.99,49,TECH-215,Resolved,Gear misalignment
01/02/2022,PLT-001,Pune,MCH-001-019,Packaging Unit,Morning,OPR-1192,114,Hydraulic Leak,22926.26,226,132509.17,104,TECH-250,Resolved,Pipe crack
01/02/2022,PLT-002,Mumbai,MCH-002-017,Conveyor Belt,Afternoon,OPR-1189,59,Mechanical Failure,11934.96,335,259197.84,36,TECH-244,Resolved,Worn bearings
01/02/2022,PLT-002,Mumbai,MCH-002-013,Welding Robot,Afternoon,OPR-1112,49,Electrical Failure,10945.24,176,84539.37,41,TECH-245,Resolved,Motor burnout
01/02/2022,PLT-003,Bangalore,MCH-003-018,Injection Moulding,Afternoon,OPR-1129,91,Overheating,16269.13,398,183123.08,57,TECH-241,Pending,Cooling fan failure
01/02/2022,PLT-002,Mumbai,MCH-002-020,Injection Moulding,Afternoon,OPR-1018,57,Human Error,4831.75,403,269988.61,46,TECH-242,Resolved,Missed maintenance check
01/02/2022,PLT-001,Pune,MCH-001-001,Robotic Arm,Morning,OPR-1196,58,Overheating,13519.33,419,242677.48,47,TECH-232,Resolved,Blocked ventilation
01/02/2022,PLT-001,Pune,MCH-001-001,Robotic Arm,Morning,OPR-1099,148,Electrical Failure,33531.13,1210,387191.05,93,TECH-252,Resolved,Short circuit
01/02/2022,PLT-003,Bangalore,MCH-003-015,Welding Robot,Afternoon,OPR-1025,124,Mechanical Failure,19340.86,440,191051.41,85,TECH-252,Pending,Component fatigue
01/02/2022,PLT-003,Bangalore,MCH-003-003,CNC Machine,Night,OPR-1070,162,Power Failure,31199.24,1086,200833.19,141,TECH-251,Resolved,Tripped breaker
01/02/2022,PLT-003,Bangalore,MCH-003-015,Welding Robot,Morning,OPR-1037,150,Hydraulic Leak,23355.23,496,377467.44,100,TECH-245,Resolved,Valve failure
01/02/2022,PLT-002,Mumbai,MCH-002-003,Injection Moulding,Night,OPR-1059,223,Mechanical Failure,53915.87,1735,1031580.76,157,TECH-255,Resolved,Gear misalignment
01/02/2022,PLT-001,Pune,MCH-001-003,Conveyor Belt,Morning,OPR-1009,123,Hydraulic Leak,17896.46,304,217047.62,85,TECH-234,Pending,Pressure spike
01/02/2022,PLT-001,Pune,MCH-001-007,Welding Robot,Night,OPR-1065,63,Human Error,14800.17,189,128749.15,41,TECH-212,Resolved,Wrong material loaded
01/02/2022,PLT-001,Pune,MCH-001-017,Packaging Unit,Afternoon,OPR-1042,30,Mechanical Failure,5591.41,190,129101.64,25,TECH-255,Resolved,Belt snapped
01/02/2022,PLT-003,Bangalore,MCH-003-020,Conveyor Belt,Morning,OPR-1009,156,Mechanical Failure,18604.75,729,445090.11,142,TECH-253,Pending,Gear misalignment
01/02/2022,PLT-001,Pune,MCH-001-016,Welding Robot,Morning,OPR-1021,108,Mechanical Failure,22642.62,640,258025.54,67,TECH-215,Pending,Gear misalignment
01/02/2022,PLT-001,Pune,MCH-001-020,Welding Robot,Afternoon,OPR-1044,89,Mechanical Failure,10199.41,456,225873.88,74,TECH-231,Resolved,Component fatigue
01/02/2022,PLT-001,Pune,MCH-001-007,Packaging Unit,Night,OPR-1096,131,Hydraulic Leak,22243.32,910,175441.09,105,TECH-245,Pending,Seal degradation
01/02/2022,PLT-002,Mumbai,MCH-002-013,Packaging Unit,Morning,OPR-1171,46,Hydraulic Leak,6040.01,132,69342.72,34,TECH-256,Resolved,Valve failure
01/02/2022,PLT-002,Mumbai,MCH-002-011,Conveyor Belt,Afternoon,OPR-1130,80,Electrical Failure,9787.98,170,80416.14,65,TECH-255,Resolved,Wiring fault
01/02/2022,PLT-002,Mumbai,MCH-002-011,Injection Moulding,Night,OPR-1153,72,Overheating,15675.14,463,160947.22,59,TECH-206,Resolved,Lubricant depletion
01/02/2022,PLT-003,Bangalore,MCH-003-007,Conveyor Belt,Morning,OPR-1054,84,Sensor Failure,9295.48,637,106163.67,70,TECH-247,Resolved,Sensor disconnected
01/02/2022,PLT-003,Bangalore,MCH-003-016,Lathe Machine,Afternoon,OPR-1084,46,Overheating,12349.44,154,49192.16,42,TECH-231,Resolved,Cooling fan failure
01/02/2022,PLT-003,Bangalore,MCH-003-004,Robotic Arm,Morning,OPR-1039,60,Electrical Failure,7670.04,132,53539.56,51,TECH-212,Resolved,Wiring fault
01/02/2022,PLT-003,Bangalore,MCH-003-001,Injection Moulding,Afternoon,OPR-1095,47,Overheating,6129.47,278,214669.03,35,TECH-248,Resolved,Lubricant depletion
01/02/2022,PLT-002,Mumbai,MCH-002-015,Welding Robot,Morning,OPR-1052,163,Mechanical Failure,31922.26,693,126002.56,112,TECH-236,Resolved,Component fatigue
01/02/2022,PLT-002,Mumbai,MCH-002-004,Packaging Unit,Night,OPR-1151,47,Sensor Failure,10926.08,276,177175.91,41,TECH-216,Resolved,Dirty sensor
01/02/2022,PLT-001,Pune,MCH-001-017,Robotic Arm,Night,OPR-1051,69,Electrical Failure,10611.11,398,194742.41,60,TECH-234,Resolved,Short circuit
01/02/2022,PLT-002,Mumbai,MCH-002-007,Welding Robot,Night,OPR-1027,290,Power Failure,44307.51,873,589602.18,238,TECH-259,Resolved,UPS failure
01/02/2022,PLT-002,Mumbai,MCH-002-018,Packaging Unit,Morning,OPR-1188,94,Electrical Failure,9729.07,228,72087.56,86,TECH-241,Resolved,Blown fuse
01/02/2022,PLT-001,Pune,MCH-001-010,Conveyor Belt,Night,OPR-1200,98,Overheating,8427.28,305,126700.56,80,TECH-240,Resolved,Cooling fan failure
01/02/2022,PLT-001,Pune,MCH-001-015,Welding Robot,Afternoon,OPR-1117,158,Power Failure,34829.09,695,425897.86,133,TECH-248,Resolved,Grid outage
01/02/2022,PLT-003,Bangalore,MCH-003-002,Lathe Machine,Night,OPR-1148,76,Electrical Failure,13731.35,422,122880.19,55,TECH-229,Resolved,Wiring fault
01/02/2022,PLT-001,Pune,MCH-001-014,Conveyor Belt,Afternoon,OPR-1036,85,Mechanical Failure,15285.76,317,144853.91,56,TECH-225,Resolved,Gear misalignment
01/03/2022,PLT-003,Bangalore,MCH-003-004,Welding Robot,Afternoon,OPR-1021,49,Mechanical Failure,6171.96,428,114968.00,37,TECH-214,Resolved,Gear misalignment
01/03/2022,PLT-002,Mumbai,MCH-002-005,Welding Robot,Night,OPR-1180,104,Electrical Failure,7291.67,836,583752.85,80,TECH-234,Resolved,Wiring fault
01/03/2022,PLT-003,Bangalore,MCH-003-001,CNC Machine,Night,OPR-1160,46,Sensor Failure,7472.12,298,75894.71,38,TECH-252,Resolved,Sensor disconnected
01/03/2022,PLT-003,Bangalore,MCH-003-001,Lathe Machine,Morning,OPR-1069,103,Mechanical Failure,16827.45,366,170941.44,71,TECH-240,Resolved,Gear misalignment
01/03/2022,PLT-001,Pune,MCH-001-013,Injection Moulding,Night,OPR-1145,92,Mechanical Failure,8320.07,712,312574.58,59,TECH-226,Resolved,Component fatigue
01/03/2022,PLT-002,Mumbai,MCH-002-013,Hydraulic Press,Afternoon,OPR-1062,14,Human Error,1143.46,42,26560.72,12,TECH-216,Resolved,Wrong material loaded
01/03/2022,PLT-003,Bangalore,MCH-003-016,Welding Robot,Night,OPR-1145,23,Human Error,5267.25,58,41530.65,16,TECH-216,Resolved,Incorrect setup
01/03/2022,PLT-001,Pune,MCH-001-014,Hydraulic Press,Morning,OPR-1195,87,Mechanical Failure,9645.78,193,125583.17,71,TECH-257,Resolved,Gear misalignment
01/03/2022,PLT-002,Mumbai,MCH-002-017,Lathe Machine,Night,OPR-1057,27,Sensor Failure,5955.86,180,68642.87,20,TECH-256,Resolved,Dirty sensor
01/03/2022,PLT-001,Pune,MCH-001-004,Injection Moulding,Night,OPR-1138,83,Electrical Failure,15291.19,577,226676.18,52,TECH-240,Resolved,Blown fuse
01/03/2022,PLT-001,Pune,MCH-001-002,Robotic Arm,Night,OPR-1021,110,Electrical Failure,17377.07,513,296792.77,95,TECH-221,Resolved,Short circuit
01/03/2022,PLT-001,Pune,MCH-001-014,Robotic Arm,Afternoon,OPR-1029,323,Hydraulic Leak,70728.47,1367,922039.78,267,TECH-242,Resolved,Pipe crack
01/03/2022,PLT-001,Pune,MCH-001-013,Robotic Arm,Night,OPR-1038,98,Electrical Failure,9806.88,788,426798.97,78,TECH-205,Resolved,Blown fuse
01/03/2022,PLT-003,Bangalore,MCH-003-019,Robotic Arm,Morning,OPR-1200,117,Mechanical Failure,14226.41,274,98166.55,105,TECH-242,Resolved,Belt snapped
01/03/2022,PLT-003,Bangalore,MCH-003-004,Hydraulic Press,Morning,OPR-1168,99,Mechanical Failure,20094.92,645,273270.42,68,TECH-227,Pending,Worn bearings
01/03/2022,PLT-003,Bangalore,MCH-003-009,Injection Moulding,Morning,OPR-1153,39,Mechanical Failure,10614.82,151,29460.03,33,TECH-256,Pending,Worn bearings
01/03/2022,PLT-003,Bangalore,MCH-003-012,Injection Moulding,Night,OPR-1118,39,Sensor Failure,3229.08,97,64099.03,33,TECH-220,Resolved,Firmware error
01/03/2022,PLT-001,Pune,MCH-001-019,Injection Moulding,Afternoon,OPR-1161,30,Human Error,4848.54,94,61761.16,26,TECH-226,Resolved,Missed maintenance check
01/03/2022,PLT-001,Pune,MCH-001-014,Welding Robot,Night,OPR-1096,308,Electrical Failure,77913.24,1846,695553.70,187,TECH-256,Resolved,Wiring fault
01/03/2022,PLT-003,Bangalore,MCH-003-012,Packaging Unit,Afternoon,OPR-1085,36,Sensor Failure,7230.09,185,57650.15,22,TECH-232,Resolved,Firmware error
01/03/2022,PLT-002,Mumbai,MCH-002-008,Packaging Unit,Morning,OPR-1146,47,Sensor Failure,8737.29,144,93389.24,37,TECH-254,Pending,Firmware error
01/03/2022,PLT-001,Pune,MCH-001-019,Hydraulic Press,Morning,OPR-1036,88,Electrical Failure,18712.81,709,248513.71,60,TECH-230,Resolved,Blown fuse
01/03/2022,PLT-001,Pune,MCH-001-004,Hydraulic Press,Night,OPR-1149,57,Mechanical Failure,11975.06,158,43433.44,46,TECH-204,Resolved,Belt snapped
01/03/2022,PLT-001,Pune,MCH-001-001,Robotic Arm,Morning,OPR-1068,398,Power Failure,49410.78,2246,787554.63,269,TECH-224,Resolved,UPS failure
01/03/2022,PLT-003,Bangalore,MCH-003-015,Injection Moulding,Night,OPR-1040,131,Electrical Failure,20874.13,943,607544.70,80,TECH-252,Resolved,Wiring fault
01/03/2022,PLT-003,Bangalore,MCH-003-002,CNC Machine,Morning,OPR-1184,43,Human Error,7188.93,337,169817.41,30,TECH-224,Resolved,Incorrect setup
01/03/2022,PLT-001,Pune,MCH-001-011,Injection Moulding,Morning,OPR-1176,142,Power Failure,34923.49,591,332856.26,132,TECH-235,Resolved,Voltage fluctuation
01/03/2022,PLT-003,Bangalore,MCH-003-004,Injection Moulding,Night,OPR-1134,254,Hydraulic Leak,38968.78,1602,359165.03,178,TECH-256,Resolved,Seal degradation
01/03/2022,PLT-003,Bangalore,MCH-003-020,Lathe Machine,Afternoon,OPR-1029,51,Mechanical Failure,4664.31,373,90257.18,37,TECH-230,Resolved,Gear misalignment
01/03/2022,PLT-002,Mumbai,MCH-002-011,Lathe Machine,Morning,OPR-1199,81,Overheating,11963.47,539,207178.22,66,TECH-256,Resolved,Cooling fan failure
01/03/2022,PLT-001,Pune,MCH-001-008,Injection Moulding,Afternoon,OPR-1199,309,Mechanical Failure,73435.65,1958,778850.16,290,TECH-252,Resolved,Gear misalignment
01/03/2022,PLT-003,Bangalore,MCH-003-004,Welding Robot,Morning,OPR-1080,17,Human Error,2631.87,53,40349.39,14,TECH-225,Resolved,Improper operation
01/03/2022,PLT-001,Pune,MCH-001-012,Hydraulic Press,Night,OPR-1052,45,Overheating,4965.85,351,257231.17,29,TECH-205,Resolved,Ambient temperature
01/03/2022,PLT-001,Pune,MCH-001-010,Injection Moulding,Afternoon,OPR-1148,108,Mechanical Failure,10248.54,798,507273.12,83,TECH-251,Resolved,Component fatigue
01/03/2022,PLT-003,Bangalore,MCH-003-006,Conveyor Belt,Afternoon,OPR-1134,69,Electrical Failure,19881.87,488,135697.55,46,TECH-235,Resolved,Wiring fault
01/03/2022,PLT-003,Bangalore,MCH-003-016,Injection Moulding,Morning,OPR-1136,41,Electrical Failure,5946.97,129,67539.12,30,TECH-229,Resolved,Wiring fault
01/03/2022,PLT-002,Mumbai,MCH-002-011,Packaging Unit,Afternoon,OPR-1151,130,Hydraulic Leak,9882.51,1029,329951.37,92,TECH-237,Resolved,Seal degradation
01/03/2022,PLT-003,Bangalore,MCH-003-011,Injection Moulding,Afternoon,OPR-1081,23,Sensor Failure,4720.66,68,32913.14,17,TECH-205,Resolved,Sensor disconnected
01/03/2022,PLT-001,Pune,MCH-001-003,Welding Robot,Morning,OPR-1172,131,Mechanical Failure,30952.11,516,179457.63,93,TECH-229,Pending,Component fatigue
01/03/2022,PLT-003,Bangalore,MCH-003-012,Conveyor Belt,Morning,OPR-1025,56,Electrical Failure,9392.03,377,224380.26,39,TECH-253,Resolved,Motor burnout
01/03/2022,PLT-001,Pune,MCH-001-007,Packaging Unit,Afternoon,OPR-1133,224,Mechanical Failure,36542.30,542,105537.86,182,TECH-218,Resolved,Gear misalignment
01/03/2022,PLT-002,Mumbai,MCH-002-004,Injection Moulding,Afternoon,OPR-1027,27,Sensor Failure,2698.89,158,78358.63,17,TECH-220,Resolved,Dirty sensor
01/03/2022,PLT-002,Mumbai,MCH-002-018,CNC Machine,Afternoon,OPR-1045,76,Electrical Failure,17599.77,392,120268.91,59,TECH-239,Pending,Motor burnout
01/03/2022,PLT-003,Bangalore,MCH-003-010,Conveyor Belt,Afternoon,OPR-1183,337,Power Failure,52053.70,1612,1214212.64,295,TECH-211,Resolved,Tripped breaker
01/03/2022,PLT-002,Mumbai,MCH-002-009,Lathe Machine,Morning,OPR-1061,32,Overheating,3696.34,141,82928.84,26,TECH-202,Resolved,Ambient temperature
01/04/2022,PLT-001,Pune,MCH-001-007,CNC Machine,Morning,OPR-1046,68,Overheating,10646.51,221,59487.34,45,TECH-232,Resolved,Ambient temperature
01/04/2022,PLT-003,Bangalore,MCH-003-011,CNC Machine,Afternoon,OPR-1054,56,Human Error,6668.80,286,86367.87,37,TECH-210,Resolved,Improper operation
01/04/2022,PLT-002,Mumbai,MCH-002-012,Injection Moulding,Night,OPR-1053,100,Power Failure,20509.92,370,168111.24,66,TECH-204,Resolved,Voltage fluctuation
01/04/2022,PLT-001,Pune,MCH-001-007,Lathe Machine,Night,OPR-1151,98,Electrical Failure,15643.45,724,395695.84,80,TECH-228,Resolved,Motor burnout
01/04/2022,PLT-002,Mumbai,MCH-002-001,Lathe Machine,Morning,OPR-1067,69,Overheating,7830.05,281,153203.14,62,TECH-242,Resolved,Ambient temperature
01/04/2022,PLT-002,Mumbai,MCH-002-014,Injection Moulding,Night,OPR-1013,332,Power Failure,33415.02,1360,582367.60,204,TECH-242,Resolved,UPS failure
01/04/2022,PLT-001,Pune,MCH-001-007,Injection Moulding,Morning,OPR-1093,21,Sensor Failure,4322.89,116,60613.63,15,TECH-255,Pending,Dirty sensor
01/04/2022,PLT-001,Pune,MCH-001-011,Hydraulic Press,Night,OPR-1124,15,Human Error,2099.32,84,34338.94,10,TECH-218,Resolved,Missed maintenance check
01/04/2022,PLT-002,Mumbai,MCH-002-007,Robotic Arm,Afternoon,OPR-1126,116,Electrical Failure,20181.53,244,63189.60,95,TECH-227,Resolved,Motor burnout
01/04/2022,PLT-002,Mumbai,MCH-002-007,Injection Moulding,Morning,OPR-1019,104,Electrical Failure,19613.79,439,282100.60,89,TECH-220,Resolved,Blown fuse
01/04/2022,PLT-003,Bangalore,MCH-003-014,Robotic Arm,Night,OPR-1178,102,Electrical Failure,13356.30,250,189963.05,85,TECH-209,Pending,Wiring fault
01/04/2022,PLT-001,Pune,MCH-001-003,Lathe Machine,Morning,OPR-1126,72,Overheating,8821.46,473,312691.67,67,TECH-213,Resolved,Blocked ventilation
01/04/2022,PLT-003,Bangalore,MCH-003-009,Packaging Unit,Morning,OPR-1092,89,Hydraulic Leak,11286.84,492,98372.01,78,TECH-231,Resolved,Pipe crack
01/04/2022,PLT-001,Pune,MCH-001-004,Conveyor Belt,Morning,OPR-1150,252,Power Failure,20736.53,1783,527587.29,168,TECH-222,Resolved,Voltage fluctuation
01/04/2022,PLT-001,Pune,MCH-001-009,Conveyor Belt,Morning,OPR-1105,119,Mechanical Failure,13402.78,681,219045.88,79,TECH-253,Resolved,Gear misalignment
01/04/2022,PLT-003,Bangalore,MCH-003-002,Injection Moulding,Afternoon,OPR-1032,42,Overheating,7839.11,208,35558.96,37,TECH-254,Resolved,Cooling fan failure
01/04/2022,PLT-003,Bangalore,MCH-003-012,Hydraulic Press,Morning,OPR-1046,102,Sensor Failure,13239.98,615,227242.87,89,TECH-228,Resolved,Calibration drift
